route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
916,Weekday,5707__201076_Timetable_-_2026-02,Conlin,0,201076_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5708__201021_Timetable_-_2026-02,Conlin,0,201021_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5709__201002_Timetable_-_2026-02,Conlin,0,201002_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
319,Weekday,570__201035_Timetable_-_2026-02,Whitby Station,1,201035_Timetable_-_2026-02,100.0.1980069562_Timetable_-_2026-02,Southbound,1
916,Weekday,5710__201029_Timetable_-_2026-02,Conlin,0,201029_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5711__201077_Timetable_-_2026-02,Conlin,0,201077_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5712__201026_Timetable_-_2026-02,Conlin,0,201026_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5713__201032_Timetable_-_2026-02,Conlin,0,201032_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5714__201075_Timetable_-_2026-02,Conlin,0,201075_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5715__201074_Timetable_-_2026-02,Conlin,0,201074_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5716__201003_Timetable_-_2026-02,Conlin,0,201003_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5717__201072_Timetable_-_2026-02,Conlin,0,201072_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5718__201047_Timetable_-_2026-02,Conlin,0,201047_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5719__201027_Timetable_-_2026-02,Conlin,0,201027_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
319,Weekday,571__201035_Timetable_-_2026-02,Whitby Station,1,201035_Timetable_-_2026-02,100.0.1980069562_Timetable_-_2026-02,Southbound,1
916,Weekday,5720__201022_Timetable_-_2026-02,Conlin,0,201022_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5721__201076_Timetable_-_2026-02,Conlin,0,201076_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5722__201021_Timetable_-_2026-02,Conlin,0,201021_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5723__201029_Timetable_-_2026-02,Conlin,0,201029_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5724__201026_Timetable_-_2026-02,Conlin,0,201026_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5725__201032_Timetable_-_2026-02,Conlin,0,201032_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5726__201074_Timetable_-_2026-02,Conlin,0,201074_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5727__201029_Timetable_-_2026-02,Pickering Parkway Terminal,1,201029_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
